open,high,low,close,real_volume,pivot,r1,s1,r2,s2,r3,s3,ema50,ema200,atr14,engulfing,hammer,hour,day_of_week,signal,target
2421.36,2421.91,2415.72,2417.15,0,2399.893333333333,2423.356666666666,2386.9866666666658,2436.2633333333333,2363.5233333333326,2459.7266666666665,2303.689999999999,2397.000597423832,2398.5488353569526,6.3079157270614745,-80,0,10,2,-1,0
2502.42,2502.47,2499.15,2501.86,0,2508.0966666666664,2523.103333333333,2496.303333333333,2534.896666666666,2481.2966666666666,2549.9033333333323,2439.4900000000007,2505.407788203803,2471.5565109702525,5.991456989373886,-100,100,7,3,1,0
2508.1,2511.4,2507.68,2510.08,0,2517.8766666666666,2532.3033333333333,2509.793333333333,2540.3866666666668,2495.3666666666663,2554.813333333333,2458.4299999999994,2510.8111169323083,2489.9846369175257,5.215178959676896,100,0,12,2,1,0
2495.81,2495.86,2489.64,2493.71,0,2499.373333333333,2508.816666666667,2491.4866666666667,2516.703333333334,2482.043333333333,2526.1466666666674,2455.269999999999,2510.353611630589,2500.0690694992472,5.756089307138022,0,100,4,1,1,0
2494.76,2496.99,2493.88,2495.91,0,2499.373333333333,2508.816666666667,2491.4866666666667,2516.703333333334,2482.043333333333,2526.1466666666674,2455.269999999999,2508.65400844869,2499.9286769349583,5.271056198171335,100,0,7,1,1,0
2495.04,2498.84,2492.81,2497.85,0,2499.373333333333,2508.816666666667,2491.4866666666667,2516.703333333334,2482.043333333333,2526.1466666666674,2455.269999999999,2507.7173757344503,2499.8598340462186,5.191216823933461,80,0,9,1,1,0
2576.9,2579.63,2574.53,2579.35,0,2582.59,2590.1600000000003,2575.57,2597.1800000000003,2568.0,2604.7500000000005,2545.84,2561.455184909012,2527.83465315731,5.254050772353727,100,0,8,1,1,0
2648.1,2650.71,2641.04,2649.92,0,2656.15,2680.05,2639.2000000000003,2697.0,2615.3,2720.9,2550.55,2654.356955878497,2630.592105345001,7.609388126676494,0,100,18,2,1,0
2644.86,2648.1,2644.0,2646.76,0,2654.4066666666663,2667.7733333333326,2645.5233333333326,2676.6566666666663,2632.1566666666663,2690.0233333333326,2596.54,2653.706510492646,2634.380226803203,5.814059219449325,100,0,13,3,1,0
2617.97,2618.91,2611.29,2612.96,0,2612.41,2620.18,2600.46,2632.13,2592.69,2639.9,2565.2,2619.917429342285,2631.2203176608946,5.399795249420686,-80,0,14,3,-1,0
2719.38,2721.39,2716.92,2721.27,0,2731.13,2747.939999999999,2719.0599999999995,2760.0099999999998,2702.25,2776.819999999999,2656.560000000001,2729.946185771927,2702.844090584498,5.35623436931727,0,100,12,4,1,0
2778.19,2781.16,2773.28,2780.84,0,2782.5033333333336,2794.256666666667,2774.976666666667,2801.7833333333338,2763.2233333333334,2813.5366666666678,2732.19,2774.8183322137097,2736.7597782781286,5.452344790986972,80,0,12,3,1,0
2728.36,2736.01,2727.69,2735.3,0,2737.986666666667,2746.6833333333343,2727.8333333333344,2756.836666666667,2719.136666666667,2765.533333333334,2691.59,2750.5680037655225,2739.5825509548035,6.468653423078924,100,0,5,1,1,1
2664.83,2672.63,2662.78,2672.4,0,2694.1466666666665,2713.3233333333333,2662.023333333333,2745.4466666666667,2642.8466666666664,2764.623333333333,2572.3699999999994,2687.9589480934696,2670.771651380845,7.065895132384567,100,0,14,4,1,0
2659.93,2664.55,2658.73,2662.15,0,2694.1466666666665,2713.3233333333333,2662.023333333333,2745.4466666666667,2642.8466666666664,2764.623333333333,2572.3699999999994,2683.984448155817,2670.391641052764,7.389699106519025,100,0,18,4,1,0
2637.85,2640.81,2636.49,2639.71,0,2649.5766666666664,2668.093333333333,2638.7333333333327,2678.9366666666665,2620.2166666666662,2697.453333333333,2572.34,2636.781929852586,2634.436185706701,5.771753029751074,100,0,23,4,1,0
2750.59,2757.95,2744.68,2755.21,0,2754.35,2774.12,2743.61,2784.86,2723.84,2804.63,2673.5599999999995,2757.050323028981,2735.512464151501,5.626915279836496,100,0,21,2,1,1
2928.68,2938.5,2927.33,2936.76,0,2939.5733333333337,2954.996666666668,2924.2066666666674,2970.3633333333337,2908.7833333333338,2985.7866666666678,2862.57,2933.607037464634,2907.4868308988275,8.83404221223191,100,0,18,4,1,0
3369.94,3393.32,3369.28,3391.37,0,3397.51,3471.84,3360.32,3509.03,3285.99,3583.36,3100.14,3353.618699798961,3305.590952539288,18.158957342559223,80,0,13,2,1,0
3331.93,3346.62,3330.44,3342.32,0,3388.286666666667,3416.3633333333337,3337.703333333334,3466.9466666666667,3309.626666666667,3495.023333333333,3202.8900000000003,3363.218937662245,3319.388151888045,17.25507047825244,80,0,13,3,1,0
